muon_px,muon_py,muon_pz,muon_E,antimuon_px,antimuon_py,antimuon_pz,antimuon_E,label
-0.04130194,-0.033122867,-10.409999,10.41067,-0.4792001,0.9279844,296.2416,296.24347,0
-3.951282,1.5370761,208.25891,208.3021,-0.59883744,-0.24867968,-5.7598085,5.7971554,0
0.7073116,-0.4800402,139.89554,139.8982,0.25983602,-0.3686831,-9.029202,9.041079,0
0.40107176,0.3242379,-23.161924,23.167908,-0.053004585,-0.8157993,53.75113,53.75745,0
-0.16345875,0.57716197,-32.303787,32.30953,-1.3728863,1.2080635,104.1786,104.1947,0
-0.18819769,0.034217887,65.1978,65.198166,0.2486701,-1.384071,-44.02902,44.051598,0
0.8764921,0.30003905,-141.4644,141.46748,-1.8076023,0.06431346,12.021624,12.157392,1
0.46525928,0.43773827,58.48974,58.49332,-2.2163665,1.2061862,-38.336674,38.419773,1
-0.5166006,-0.26936504,8.596818,8.617186,-0.37727988,0.118887566,-135.56032,135.56093,0
-0.08417759,-0.049776103,-66.57117,66.57133,0.19225146,-0.5713746,19.3871,19.396759,0
-0.99236506,0.22636093,-64.931465,64.93953,-0.28968927,-0.04974748,19.734816,19.737288,0
0.45583978,-2.0866835,-79.77684,79.8055,0.2531189,-0.37193406,22.273932,22.278727,1
